des(0, 17109, 19683)
(6411, "x8", 12972)
(12972, "o0", 12974)
(12972, "o3", 13026)
(2037, "o8", 15159)
(15159, "x0", 15160)
(15159, "x3", 15186)
(15159, "x7", 17346)
(17346, "x-won", 19683)
(1956, "x7", 4143)
(4143, "o0", 4145)
(4143, "o3", 4197)
(4143, "o4", 4305)
(4143, "o8", 17265)
(17265, "x0", 17266)
(17265, "x3", 17292)
(17265, "x4", 17346)
(1956, "x8", 8517)
(8517, "o0", 8519)
(8517, "o3", 8571)
(8517, "o4", 8679)
(8517, "o7", 12891)
(12891, "x0", 12892)
(12891, "x3", 12918)
(12891, "x4", 12972)
(498, "o7", 4872)
(4872, "x0", 4873)
(4872, "x3", 4899)
(4899, "o0", 4901)
(4899, "o4", 5061)
(4899, "o6", 6357)
(4899, "o8", 18021)
(18021, "x0", 18022)
(18021, "x4", 18102)
(18102, "o0", 18104)
(18102, "o6", 19560)
(18021, "x6", 18750)
(18750, "o0", 18752)
(18750, "o4", 18912)
(4872, "x4", 4953)
(4953, "o0", 4955)
(4953, "o3", 5007)
(4953, "o6", 6411)
(4953, "o8", 18075)
(18075, "x0", 18076)
(18075, "x3", 18102)
(18075, "x6", 18804)
(18804, "x-won", 19683)
(4872, "x6", 5601)
(5601, "o0", 5603)
(5601, "o3", 5655)
(5601, "o4", 5763)
(5601, "o8", 18723)
(18723, "x0", 18724)
(18723, "x3", 18750)
(18723, "x4", 18804)
(4872, "x8", 11433)
(11433, "o0", 11435)
(11433, "o3", 11487)
(11433, "o4", 11595)
(11433, "o6", 12891)
(498, "o8", 13620)
(13620, "x0", 13621)
(13620, "x3", 13647)
(13647, "o0", 13649)
(13647, "o4", 13809)
(13647, "o6", 15105)
(13647, "o7", 18021)
(13620, "x4", 13701)
(13701, "o0", 13703)
(13701, "o3", 13755)
(13701, "o6", 15159)
(13701, "o7", 18075)
(13620, "x6", 14349)
(14349, "o0", 14351)
(14349, "o3", 14403)
(14349, "o4", 14511)
(14349, "o7", 18723)
(13620, "x7", 15807)
(15807, "o0", 15809)
(15807, "o3", 15861)
(15807, "o4", 15969)
(15807, "o6", 17265)
(489, "x3", 516)
(516, "o0", 518)
(516, "o2", 534)
(516, "o4", 678)
(516, "o6", 1974)
(1974, "x0", 1975)
(1974, "x2", 1983)
(1974, "x4", 2055)
(2055, "o0", 2057)
(2055, "o2", 2073)
(2055, "o7", 6429)
(6429, "x0", 6430)
(6429, "x2", 6438)
(6429, "x8", 12990)
(12990, "o0", 12992)
(12990, "o2", 13008)
(2055, "o8", 15177)
(15177, "x0", 15178)
(15177, "x2", 15186)
(15177, "x7", 17364)
(17364, "x-won", 19683)
(1974, "x7", 4161)
(4161, "o0", 4163)
(4161, "o2", 4179)
(4161, "o4", 4323)
(4161, "o8", 17283)
(17283, "x0", 17284)
(17283, "x2", 17292)
(17283, "x4", 17364)
(1974, "x8", 8535)
(8535, "o0", 8537)
(8535, "o2", 8553)
(8535, "o4", 8697)
(8535, "o7", 12909)
(12909, "x0", 12910)
(12909, "x2", 12918)
(12909, "x4", 12990)
(516, "o7", 4890)
(4890, "x0", 4891)
(4890, "x2", 4899)
(4890, "x4", 4971)
(4971, "o0", 4973)
(4971, "o2", 4989)
(4971, "o6", 6429)
(4971, "o8", 18093)
(18093, "x0", 18094)
(18093, "x2", 18102)
(18093, "x6", 18822)
(18822, "o0", 18824)
(18822, "o2", 18840)
(4890, "x6", 5619)
(5619, "o0", 5621)
(5619, "o2", 5637)
(5619, "o4", 5781)
(5619, "o8", 18741)
(18741, "x0", 18742)
(18741, "x2", 18750)
(18741, "x4", 18822)
(4890, "x8", 11451)
(11451, "o0", 11453)
(11451, "o2", 11469)
(11451, "o4", 11613)
(11451, "o6", 12909)
(516, "o8", 13638)
(13638, "x0", 13639)
(13638, "x2", 13647)
(13638, "x4", 13719)
(13719, "o0", 13721)
(13719, "o2", 13737)
(13719, "o6", 15177)
(13719, "o7", 18093)
(13638, "x6", 14367)
(14367, "o0", 14369)
(14367, "o2", 14385)
(14367, "o4", 14529)
(14367, "o7", 18741)
(13638, "x7", 15825)
(15825, "o0", 15827)
(15825, "o2", 15843)
(15825, "o4", 15987)
(15825, "o6", 17283)
(489, "x4", 570)
(570, "o0", 572)
(570, "o2", 588)
(570, "o3", 624)
(570, "o6", 2028)
(2028, "x0", 2029)
(2028, "x2", 2037)
(2028, "x3", 2055)
(2028, "x7", 4215)
(4215, "x-won", 19683)
(2028, "x8", 8589)
(8589, "o0", 8591)
(8589, "o2", 8607)
(8589, "o3", 8643)
(8589, "o7", 12963)
(12963, "x0", 12964)
(12963, "x2", 12972)
(12963, "x3", 12990)
(570, "o7", 4944)
(4944, "x0", 4945)
(4944, "x2", 4953)
(4944, "x3", 4971)
(4944, "x6", 5673)
(5673, "o0", 5675)
(5673, "o2", 5691)
(5673, "o3", 5727)
(5673, "o8", 18795)
(18795, "x0", 18796)
(18795, "x2", 18804)
(18795, "x3", 18822)
(4944, "x8", 11505)
(11505, "o0", 11507)
(11505, "o2", 11523)
(11505, "o3", 11559)
(11505, "o6", 12963)
(570, "o8", 13692)
(13692, "x0", 13693)
(13692, "x2", 13701)
(13692, "x3", 13719)
(13692, "x6", 14421)
(14421, "o0", 14423)
(14421, "o2", 14439)
(14421, "o3", 14475)
(14421, "o7", 18795)
(13692, "x7", 15879)
(15879, "x-won", 19683)
(489, "x6", 1218)
(1218, "o0", 1220)
(1218, "o2", 1236)
(1218, "o3", 1272)
(1218, "o4", 1380)
(1218, "o7", 5592)
(5592, "x0", 5593)
(5592, "x2", 5601)
(5592, "x3", 5619)
(5592, "x4", 5673)
(5592, "x8", 12153)
(12153, "o0", 12155)
(12153, "o2", 12171)
(12153, "o3", 12207)
(12153, "o4", 12315)
(1218, "o8", 14340)
(14340, "x0", 14341)
(14340, "x2", 14349)
(14340, "x3", 14367)
(14340, "x4", 14421)
(14340, "x7", 16527)
(16527, "o0", 16529)
(16527, "o2", 16545)
(16527, "o3", 16581)
(16527, "o4", 16689)
(489, "x7", 2676)
(2676, "o0", 2678)
(2676, "o2", 2694)
(2676, "o3", 2730)
(2676, "o4", 2838)
(2676, "o6", 4134)
(4134, "x0", 4135)
(4134, "x2", 4143)
(4134, "x3", 4161)
(4134, "x4", 4215)
(4134, "x8", 10695)
(10695, "o0", 10697)
(10695, "o2", 10713)
(10695, "o3", 10749)
(10695, "o4", 10857)
(2676, "o8", 15798)
(15798, "x0", 15799)
(15798, "x2", 15807)
(15798, "x3", 15825)
(15798, "x4", 15879)
(15798, "x6", 16527)
(489, "x8", 7050)
(7050, "o0", 7052)
(7050, "o2", 7068)
(7050, "o3", 7104)
(7050, "o4", 7212)
(7050, "o6", 8508)
(8508, "x0", 8509)
(8508, "x2", 8517)
(8508, "x3", 8535)
(8508, "x4", 8589)
(8508, "x7", 10695)
(7050, "o7", 11424)
(11424, "x0", 11425)
(11424, "x2", 11433)
(11424, "x3", 11451)
(11424, "x4", 11505)
(11424, "x6", 12153)
(3, "o6", 1461)
(1461, "x0", 1462)
(1461, "x2", 1470)
(1470, "o0", 1472)
(1470, "o3", 1524)
(1470, "o4", 1632)
(1470, "o5", 1956)
(1470, "o7", 5844)
(5844, "x0", 5845)
(5844, "x3", 5871)
(5871, "o0", 5873)
(5871, "o4", 6033)
(5871, "o5", 6357)
(5871, "o8", 18993)
(18993, "o-won", 19683)
(5844, "x4", 5925)
(5925, "o0", 5927)
(5925, "o3", 5979)
(5925, "o5", 6411)
(5925, "o8", 19047)
(19047, "o-won", 19683)
(5844, "x5", 6087)
(6087, "o0", 6089)
(6087, "o3", 6141)
(6087, "o4", 6249)
(6087, "o8", 19209)
(19209, "o-won", 19683)
(5844, "x8", 12405)
(12405, "o0", 12407)
(12405, "o3", 12459)
(12405, "o4", 12567)
(12405, "o5", 12891)
(1470, "o8", 14592)
(14592, "x0", 14593)
(14592, "x3", 14619)
(14619, "o0", 14621)
(14619, "o4", 14781)
(14619, "o5", 15105)
(14619, "o7", 18993)
(14592, "x4", 14673)
(14673, "o0", 14675)
(14673, "o3", 14727)
(14673, "o5", 15159)
(14673, "o7", 19047)
(14592, "x5", 14835)
(14835, "o0", 14837)
(14835, "o3", 14889)
(14835, "o4", 14997)
(14835, "o7", 19209)
(14592, "x7", 16779)
(16779, "o0", 16781)
(16779, "o3", 16833)
(16779, "o4", 16941)
(16779, "o5", 17265)
(1461, "x3", 1488)
(1488, "o0", 1490)
(1488, "o2", 1506)
(1488, "o4", 1650)
(1488, "o5", 1974)
(1488, "o7", 5862)
(5862, "x0", 5863)
(5862, "x2", 5871)
(5862, "x4", 5943)
(5943, "o0", 5945)
(5943, "o2", 5961)
(5943, "o5", 6429)
(5943, "o8", 19065)
(19065, "o-won", 19683)
(5862, "x5", 6105)
(6105, "o0", 6107)
(6105, "o2", 6123)
(6105, "o4", 6267)
(6105, "o8", 19227)
(19227, "o-won", 19683)
(5862, "x8", 12423)
(12423, "o0", 12425)
(12423, "o2", 12441)
(12423, "o4", 12585)
(12423, "o5", 12909)
(1488, "o8", 14610)
(14610, "x0", 14611)
(14610, "x2", 14619)
(14610, "x4", 14691)
(14691, "o0", 14693)
(14691, "o2", 14709)
(14691, "o5", 15177)
(14691, "o7", 19065)
(14610, "x5", 14853)
(14853, "o0", 14855)
(14853, "o2", 14871)
(14853, "o4", 15015)
(14853, "o7", 19227)
(14610, "x7", 16797)
(16797, "o0", 16799)
(16797, "o2", 16815)
(16797, "o4", 16959)
(16797, "o5", 17283)
(1461, "x4", 1542)
(1542, "o0", 1544)
(1542, "o2", 1560)
(1542, "o3", 1596)
(1542, "o5", 2028)
(1542, "o7", 5916)
(5916, "x0", 5917)
(5916, "x2", 5925)
(5916, "x3", 5943)
(5916, "x5", 6159)
(6159, "o0", 6161)
(6159, "o2", 6177)
(6159, "o3", 6213)
(6159, "o8", 19281)
(19281, "o-won", 19683)
(5916, "x8", 12477)
(12477, "o0", 12479)
(12477, "o2", 12495)
(12477, "o3", 12531)
(12477, "o5", 12963)
(1542, "o8", 14664)
(14664, "x0", 14665)
(14664, "x2", 14673)
(14664, "x3", 14691)
(14664, "x5", 14907)
(14907, "o0", 14909)
(14907, "o2", 14925)
(14907, "o3", 14961)
(14907, "o7", 19281)
(14664, "x7", 16851)
(16851, "x-won", 19683)
(1461, "x5", 1704)
(1704, "o0", 1706)
(1704, "o2", 1722)
(1704, "o3", 1758)
(1704, "o4", 1866)
(1704, "o7", 6078)
(6078, "x0", 6079)
(6078, "x2", 6087)
(6078, "x3", 6105)
(6078, "x4", 6159)
(6078, "x8", 12639)
(12639, "o0", 12641)
(12639, "o2", 12657)
(12639, "o3", 12693)
(12639, "o4", 12801)
(1704, "o8", 14826)
(14826, "x0", 14827)
(14826, "x2", 14835)
(14826, "x3", 14853)
(14826, "x4", 14907)
(14826, "x7", 17013)
(17013, "o0", 17015)
(17013, "o2", 17031)
(17013, "o3", 17067)
(17013, "o4", 17175)
(1461, "x7", 3648)
(3648, "o0", 3650)
(3648, "o2", 3666)
(3648, "o3", 3702)
(3648, "o4", 3810)
(3648, "o5", 4134)
(3648, "o8", 16770)
(16770, "x0", 16771)
(16770, "x2", 16779)
(16770, "x3", 16797)
(16770, "x4", 16851)
(16770, "x5", 17013)
(1461, "x8", 8022)
(8022, "o0", 8024)
(8022, "o2", 8040)
(8022, "o3", 8076)
(8022, "o4", 8184)
(8022, "o5", 8508)
(8022, "o7", 12396)
(12396, "x0", 12397)
(12396, "x2", 12405)
(12396, "x3", 12423)
(12396, "x4", 12477)
(12396, "x5", 12639)
(3, "o7", 4377)
(4377, "x0", 4378)
(4377, "x2", 4386)
(4386, "o0", 4388)
(4386, "o3", 4440)
(4386, "o4", 4548)
(4386, "o5", 4872)
(4386, "o6", 5844)
(4386, "o8", 17508)
(17508, "x0", 17509)
(17508, "x3", 17535)
(17535, "o0", 17537)
(17535, "o4", 17697)
(17535, "o5", 18021)
(17535, "o6", 18993)
(17508, "x4", 17589)
(17589, "o0", 17591)
(17589, "o3", 17643)
(17589, "o5", 18075)
(17589, "o6", 19047)
(17508, "x5", 17751)
(17751, "o0", 17753)
(17751, "o3", 17805)
(17751, "o4", 17913)
(17751, "o6", 19209)
(17508, "x6", 18237)
(18237, "o0", 18239)
(18237, "o3", 18291)
(18237, "o4", 18399)
(18237, "o5", 18723)
(4377, "x3", 4404)
(4404, "o0", 4406)
(4404, "o2", 4422)
(4404, "o4", 4566)
(4404, "o5", 4890)
(4404, "o6", 5862)
(4404, "o8", 17526)
(17526, "x0", 17527)
(17526, "x2", 17535)
(17526, "x4", 17607)
(17607, "o0", 17609)
(17607, "o2", 17625)
(17607, "o5", 18093)
(17607, "o6", 19065)
(17526, "x5", 17769)
(17769, "o0", 17771)
(17769, "o2", 17787)
(17769, "o4", 17931)
(17769, "o6", 19227)
(17526, "x6", 18255)
(18255, "o0", 18257)
(18255, "o2", 18273)
(18255, "o4", 18417)
(18255, "o5", 18741)
(4377, "x4", 4458)
(4458, "o0", 4460)
(4458, "o2", 4476)
(4458, "o3", 4512)
(4458, "o5", 4944)
(4458, "o6", 5916)
(4458, "o8", 17580)
(17580, "x0", 17581)
(17580, "x2", 17589)
(17580, "x3", 17607)
(17580, "x5", 17823)
(17823, "o0", 17825)
(17823, "o2", 17841)
(17823, "o3", 17877)
(17823, "o6", 19281)
(17580, "x6", 18309)
(18309, "o0", 18311)
(18309, "o2", 18327)
(18309, "o3", 18363)
(18309, "o5", 18795)
(4377, "x5", 4620)
(4620, "o0", 4622)
(4620, "o2", 4638)
(4620, "o3", 4674)
(4620, "o4", 4782)
(4620, "o6", 6078)
(4620, "o8", 17742)
(17742, "x0", 17743)
(17742, "x2", 17751)
(17742, "x3", 17769)
(17742, "x4", 17823)
(17742, "x6", 18471)
(18471, "o0", 18473)
(18471, "o2", 18489)
(18471, "o3", 18525)
(18471, "o4", 18633)
(4377, "x6", 5106)
(5106, "o0", 5108)
(5106, "o2", 5124)
(5106, "o3", 5160)
(5106, "o4", 5268)
(5106, "o5", 5592)
(5106, "o8", 18228)
(18228, "x0", 18229)
(18228, "x2", 18237)
(18228, "x3", 18255)
(18228, "x4", 18309)
(18228, "x5", 18471)
(4377, "x8", 10938)
(10938, "o0", 10940)
(10938, "o2", 10956)
(10938, "o3", 10992)
(10938, "o4", 11100)
(10938, "o5", 11424)
(10938, "o6", 12396)
(3, "o8", 13125)
(13125, "x0", 13126)
(13125, "x2", 13134)
(13134, "o0", 13136)
(13134, "o3", 13188)
(13134, "o4", 13296)
(13134, "o5", 13620)
(13134, "o6", 14592)
(13134, "o7", 17508)
(13125, "x3", 13152)
(13152, "o0", 13154)
(13152, "o2", 13170)
(13152, "o4", 13314)
(13152, "o5", 13638)
(13152, "o6", 14610)
(13152, "o7", 17526)
(13125, "x4", 13206)
(13206, "o0", 13208)
(13206, "o2", 13224)
(13206, "o3", 13260)
(13206, "o5", 13692)
(13206, "o6", 14664)
(13206, "o7", 17580)
(13125, "x5", 13368)
(13368, "o0", 13370)
(13368, "o2", 13386)
(13368, "o3", 13422)
(13368, "o4", 13530)
(13368, "o6", 14826)
(13368, "o7", 17742)
(13125, "x6", 13854)
(13854, "o0", 13856)
(13854, "o2", 13872)
(13854, "o3", 13908)
(13854, "o4", 14016)
(13854, "o5", 14340)
(13854, "o7", 18228)
(13125, "x7", 15312)
(15312, "o0", 15314)
(15312, "o2", 15330)
(15312, "o3", 15366)
(15312, "o4", 15474)
(15312, "o5", 15798)
(15312, "o6", 16770)
(0, "x2", 9)
(9, "o0", 11)
(11, "x1", 14)
(11, "x3", 38)
(38, "o1", 44)
(44, "x4", 125)
(125, "o5", 611)
(611, "x6", 1340)
(1340, "x-won", 19683)
(611, "x7", 2798)
(2798, "o6", 4256)
(4256, "x8", 10817)
(2798, "o8", 15920)
(15920, "x6", 16649)
(16649, "x-won", 19683)
(611, "x8", 7172)
(7172, "o6", 8630)
(8630, "x7", 10817)
(7172, "o7", 11546)
(11546, "x6", 12275)
(12275, "x-won", 19683)
(125, "o6", 1583)
(1583, "x5", 1826)
(1826, "x-won", 19683)
(1583, "x7", 3770)
(3770, "o5", 4256)
(3770, "o8", 16892)
(16892, "x5", 17135)
(17135, "x-won", 19683)
(1583, "x8", 8144)
(8144, "o5", 8630)
(8144, "o7", 12518)
(12518, "x5", 12761)
(12761, "x-won", 19683)
(125, "o7", 4499)
(4499, "x5", 4742)
(4742, "x-won", 19683)
(4499, "x6", 5228)
(5228, "x-won", 19683)
(4499, "x8", 11060)
(11060, "o5", 11546)
(11060, "o6", 12518)
(125, "o8", 13247)
(13247, "x5", 13490)
(13490, "x-won", 19683)
(13247, "x6", 13976)
(13976, "x-won", 19683)
(13247, "x7", 15434)
(15434, "o5", 15920)
(15434, "o6", 16892)
(44, "x5", 287)
(287, "o4", 449)
(449, "x6", 1178)
(1178, "o7", 5552)
(5552, "o-won", 19683)
(1178, "o8", 14300)
(14300, "o-won", 19683)
(449, "x7", 2636)
(2636, "o6", 4094)
(4094, "x8", 10655)
(10655, "x-won", 19683)
(2636, "o8", 15758)
(15758, "o-won", 19683)
(449, "x8", 7010)
(7010, "x-won", 19683)
(287, "o6", 1745)
(1745, "x4", 1826)
(1745, "x7", 3932)
(3932, "o4", 4094)
(3932, "o8", 17054)
(17054, "x4", 17135)
(1745, "x8", 8306)
(8306, "x-won", 19683)
(287, "o7", 4661)
(4661, "x4", 4742)
(4661, "x6", 5390)
(5390, "o4", 5552)
(5390, "o8", 18512)
(18512, "x4", 18593)
(18593, "x-won", 19683)
(4661, "x8", 11222)
(11222, "x-won", 19683)
(287, "o8", 13409)
(13409, "x4", 13490)
(13409, "x6", 14138)
(14138, "o4", 14300)
(14138, "o7", 18512)
(13409, "x7", 15596)
(15596, "o4", 15758)
(15596, "o6", 17054)
(44, "x6", 773)
(773, "o4", 935)
(935, "x5", 1178)
(935, "x7", 3122)
(3122, "o5", 3608)
(3608, "x8", 10169)
(10169, "x-won", 19683)
(3122, "o8", 16244)
(16244, "o-won", 19683)
(935, "x8", 7496)
(7496, "o5", 7982)
(7982, "x7", 10169)
(7496, "o7", 11870)
(11870, "o-won", 19683)
(773, "o5", 1259)
(1259, "x4", 1340)
(1259, "x7", 3446)
(3446, "o4", 3608)
(3446, "o8", 16568)
(16568, "x4", 16649)
(1259, "x8", 7820)
(7820, "o4", 7982)
(7820, "o7", 12194)
(12194, "x4", 12275)
(773, "o7", 5147)
(5147, "x4", 5228)
(5147, "x5", 5390)
(5147, "x8", 11708)
(11708, "o4", 11870)
(11708, "o5", 12194)
(773, "o8", 13895)
(13895, "x4", 13976)
(13895, "x5", 14138)
(13895, "x7", 16082)
(16082, "o4", 16244)
(16082, "o5", 16568)
(44, "x7", 2231)
(2231, "o4", 2393)
(2393, "x5", 2636)
(2393, "x6", 3122)
(2393, "x8", 8954)
(8954, "o5", 9440)
(9440, "x6", 10169)
(8954, "o6", 10412)
(10412, "x5", 10655)
(2231, "o5", 2717)
(2717, "x4", 2798)
(2717, "x6", 3446)
(2717, "x8", 9278)
(9278, "o4", 9440)
(9278, "o6", 10736)
(10736, "x4", 10817)
(2231, "o6", 3689)
(3689, "x4", 3770)
(3689, "x5", 3932)
(3689, "x8", 10250)
(10250, "o4", 10412)
(10250, "o5", 10736)
(2231, "o8", 15353)
(15353, "x4", 15434)
(15353, "x5", 15596)
(15353, "x6", 16082)
(44, "x8", 6605)
(6605, "o4", 6767)
(6767, "x5", 7010)
(6767, "x6", 7496)
(6767, "x7", 8954)
(6605, "o5", 7091)
(7091, "x4", 7172)
(7091, "x6", 7820)
(7091, "x7", 9278)
(6605, "o6", 8063)
(8063, "x4", 8144)
(8063, "x5", 8306)
(8063, "x7", 10250)
(6605, "o7", 10979)
(10979, "x4", 11060)
(10979, "x5", 11222)
(10979, "x6", 11708)
(38, "o4", 200)
(200, "x1", 203)
(200, "x5", 443)
(443, "o1", 449)
(443, "o6", 1901)
(1901, "x1", 1904)
(1901, "x7", 4088)
(4088, "o1", 4094)
(4088, "o8", 17210)
(17210, "o-won", 19683)
(1901, "x8", 8462)
(8462, "x-won", 19683)
(443, "o7", 4817)
(4817, "x1", 4820)
(4817, "x6", 5546)
(5546, "o1", 5552)
(5546, "o8", 18668)
(18668, "o-won", 19683)
(4817, "x8", 11378)
(11378, "x-won", 19683)
(443, "o8", 13565)
(13565, "o-won", 19683)
(200, "x6", 929)
(929, "o1", 935)
(929, "o5", 1415)
(1415, "x1", 1418)
(1415, "x7", 3602)
(3602, "o1", 3608)
(3602, "o8", 16724)
(16724, "o-won", 19683)
(1415, "x8", 7976)
(7976, "o1", 7982)
(7976, "o7", 12350)
(12350, "x1", 12353)
(929, "o7", 5303)
(5303, "x1", 5306)
(5303, "x5", 5546)
(5303, "x8", 11864)
(11864, "o1", 11870)
(11864, "o5", 12350)
(929, "o8", 14051)
(14051, "o-won", 19683)
(200, "x7", 2387)
(2387, "o1", 2393)
(2387, "o5", 2873)
(2873, "x1", 2876)
(2873, "x6", 3602)
(2873, "x8", 9434)
(9434, "o1", 9440)
(9434, "o6", 10892)
(10892, "x1", 10895)
(2387, "o6", 3845)
(3845, "x1", 3848)
(3845, "x5", 4088)
(3845, "x8", 10406)
(10406, "o1", 10412)
(10406, "o5", 10892)
(2387, "o8", 15509)
(15509, "o-won", 19683)
(200, "x8", 6761)
(6761, "o1", 6767)
(6761, "o5", 7247)
(7247, "x1", 7250)
(7247, "x6", 7976)
(7247, "x7", 9434)
(6761, "o6", 8219)
(8219, "x1", 8222)
(8219, "x5", 8462)
(8219, "x7", 10406)
(6761, "o7", 11135)
(11135, "x1", 11138)
(11135, "x5", 11378)
(11135, "x6", 11864)
(38, "o5", 524)
(524, "x1", 527)
(524, "x4", 605)
(605, "o1", 611)
(605, "o6", 2063)
(2063, "x1", 2066)
(2063, "x7", 4250)
(4250, "o1", 4256)
(4250, "o8", 17372)
(17372, "x1", 17375)
(2063, "x8", 8624)
(8624, "o1", 8630)
(8624, "o7", 12998)
(12998, "x1", 13001)
(605, "o7", 4979)
(4979, "x1", 4982)
(4979, "x6", 5708)
(5708, "x-won", 19683)
(4979, "x8", 11540)
(11540, "o1", 11546)
(11540, "o6", 12998)
(605, "o8", 13727)
(13727, "x1", 13730)
(13727, "x6", 14456)
(14456, "x-won", 19683)
(13727, "x7", 15914)
(15914, "o1", 15920)
(15914, "o6", 17372)
(524, "x6", 1253)
(1253, "o1", 1259)
(1253, "o4", 1415)
(1253, "o7", 5627)
(5627, "x1", 5630)
(5627, "x4", 5708)
(5627, "x8", 12188)
(12188, "o1", 12194)
(12188, "o4", 12350)
(1253, "o8", 14375)
(14375, "x1", 14378)
(14375, "x4", 14456)
(14375, "x7", 16562)
(16562, "o1", 16568)
(16562, "o4", 16724)
(524, "x7", 2711)
(2711, "o1", 2717)
(2711, "o4", 2873)
(2711, "o6", 4169)
(4169, "x1", 4172)
(4169, "x4", 4250)
(4169, "x8", 10730)
(10730, "o1", 10736)
(10730, "o4", 10892)
(2711, "o8", 15833)
(15833, "x1", 15836)
(15833, "x4", 15914)
(15833, "x6", 16562)
(524, "x8", 7085)
(7085, "o1", 7091)
(7085, "o4", 7247)
(7085, "o6", 8543)
(8543, "x1", 8546)
(8543, "x4", 8624)
(8543, "x7", 10730)
(7085, "o7", 11459)
(11459, "x1", 11462)
(11459, "x4", 11540)
(11459, "x6", 12188)
(38, "o6", 1496)
(1496, "x1", 1499)
(1496, "x4", 1577)
(1577, "o1", 1583)
(1577, "o5", 2063)
(1577, "o7", 5951)
(5951, "x1", 5954)
(5951, "x5", 6194)
(6194, "x-won", 19683)
(5951, "x8", 12512)
(12512, "o1", 12518)
(12512, "o5", 12998)
(1577, "o8", 14699)
(14699, "x1", 14702)
(14699, "x5", 14942)
(14942, "x-won", 19683)
(14699, "x7", 16886)
(16886, "o1", 16892)
(16886, "o5", 17372)
(1496, "x5", 1739)
(1739, "o1", 1745)
(1739, "o4", 1901)
(1739, "o7", 6113)
(6113, "x1", 6116)
(6113, "x4", 6194)
(6113, "x8", 12674)
(12674, "x-won", 19683)
(1739, "o8", 14861)
(14861, "x1", 14864)
(14861, "x4", 14942)
(14861, "x7", 17048)
(17048, "o1", 17054)
(17048, "o4", 17210)
(1496, "x7", 3683)
(3683, "o1", 3689)
(3683, "o4", 3845)
(3683, "o5", 4169)
(3683, "o8", 16805)
(16805, "x1", 16808)
(16805, "x4", 16886)
(16805, "x5", 17048)
(1496, "x8", 8057)
(8057, "o1", 8063)
(8057, "o4", 8219)
(8057, "o5", 8543)
(8057, "o7", 12431)
(12431, "x1", 12434)
(12431, "x4", 12512)
(12431, "x5", 12674)
(38, "o7", 4412)
(4412, "x1", 4415)
(4412, "x4", 4493)
(4493, "o1", 4499)
(4493, "o5", 4979)
(4493, "o6", 5951)
(4493, "o8", 17615)
(17615, "x1", 17618)
(17615, "x5", 17858)
(17858, "x-won", 19683)
(17615, "x6", 18344)
(18344, "x-won", 19683)
(4412, "x5", 4655)
(4655, "o1", 4661)
(4655, "o4", 4817)
(4655, "o6", 6113)
(4655, "o8", 17777)
(17777, "x1", 17780)
(17777, "x4", 17858)
(17777, "x6", 18506)
(18506, "o1", 18512)
(18506, "o4", 18668)
(4412, "x6", 5141)
(5141, "o1", 5147)
(5141, "o4", 5303)
(5141, "o5", 5627)
(5141, "o8", 18263)
(18263, "x1", 18266)
(18263, "x4", 18344)
(18263, "x5", 18506)
(4412, "x8", 10973)
(10973, "o1", 10979)
(10973, "o4", 11135)
(10973, "o5", 11459)
(10973, "o6", 12431)
(38, "o8", 13160)
(13160, "x1", 13163)
(13160, "x4", 13241)
(13241, "o1", 13247)
(13241, "o5", 13727)
(13241, "o6", 14699)
(13241, "o7", 17615)
(13160, "x5", 13403)
(13403, "o1", 13409)
(13403, "o4", 13565)
(13403, "o6", 14861)
(13403, "o7", 17777)
(13160, "x6", 13889)
(13889, "o1", 13895)
(13889, "o4", 14051)
(13889, "o5", 14375)
(13889, "o7", 18263)
(13160, "x7", 15347)
(15347, "o1", 15353)
(15347, "o4", 15509)
(15347, "o5", 15833)
(15347, "o6", 16805)
(11, "x4", 92)
(92, "o1", 98)
(98, "x3", 125)
(98, "x5", 341)
(341, "o3", 395)
(395, "x6", 1124)
(1124, "x-won", 19683)
(395, "x7", 2582)
(2582, "o6", 4040)
(4040, "o-won", 19683)
(2582, "o8", 15704)
(15704, "x6", 16433)
(16433, "x-won", 19683)
(395, "x8", 6956)
(6956, "x-won", 19683)
(341, "o6", 1799)
(1799, "x3", 1826)
(1799, "x7", 3986)
(3986, "o3", 4040)
(3986, "o8", 17108)
(17108, "x3", 17135)
(1799, "x8", 8360)
(8360, "x-won", 19683)
(341, "o7", 4715)
(4715, "x3", 4742)
(4715, "x6", 5444)
(5444, "x-won", 19683)
(4715, "x8", 11276)
(11276, "x-won", 19683)
(341, "o8", 13463)
(13463, "x3", 13490)
(13463, "x6", 14192)
(14192, "x-won", 19683)
(13463, "x7", 15650)
(15650, "o3", 15704)
(15650, "o6", 17108)
(98, "x6", 827)
(827, "x-won", 19683)
(98, "x7", 2285)
(2285, "o3", 2339)
(2339, "x5", 2582)
(2339, "x6", 3068)
(3068, "x-won", 19683)
(2339, "x8", 8900)
(8900, "o5", 9386)
(9386, "x6", 10115)
(10115, "x-won", 19683)
(8900, "o6", 10358)
(10358, "o-won", 19683)
(2285, "o5", 2771)
(2771, "x3", 2798)
(2771, "x6", 3500)
(3500, "x-won", 19683)
(2771, "x8", 9332)
(9332, "o3", 9386)
(9332, "o6", 10790)
(10790, "x3", 10817)
(2285, "o6", 3743)
(3743, "x3", 3770)
(3743, "x5", 3986)
(3743, "x8", 10304)
(10304, "o3", 10358)
(10304, "o5", 10790)
(2285, "o8", 15407)
