des(0, 17109, 19683)
(7063, "o3", 7117)
(7063, "o4", 7225)
(7063, "o6", 8521)
(8521, "x3", 8548)
(8521, "x4", 8602)
(8521, "x7", 10708)
(7063, "o7", 11437)
(11437, "x3", 11464)
(11437, "x4", 11518)
(11437, "x6", 12166)
(16, "o6", 1474)
(1474, "x3", 1501)
(1501, "o4", 1663)
(1501, "o5", 1987)
(1501, "o7", 5875)
(5875, "x4", 5956)
(5956, "o5", 6442)
(5956, "o8", 19078)
(19078, "o-won", 19683)
(5875, "x5", 6118)
(6118, "o4", 6280)
(6118, "o8", 19240)
(19240, "o-won", 19683)
(5875, "x8", 12436)
(12436, "o4", 12598)
(12436, "o5", 12922)
(1501, "o8", 14623)
(14623, "x4", 14704)
(14704, "o5", 15190)
(14704, "o7", 19078)
(14623, "x5", 14866)
(14866, "o4", 15028)
(14866, "o7", 19240)
(14623, "x7", 16810)
(16810, "o4", 16972)
(16810, "o5", 17296)
(1474, "x4", 1555)
(1555, "o3", 1609)
(1555, "o5", 2041)
(1555, "o7", 5929)
(5929, "x3", 5956)
(5929, "x5", 6172)
(6172, "o3", 6226)
(6172, "o8", 19294)
(19294, "o-won", 19683)
(5929, "x8", 12490)
(12490, "x-won", 19683)
(1555, "o8", 14677)
(14677, "x3", 14704)
(14677, "x5", 14920)
(14920, "o3", 14974)
(14920, "o7", 19294)
(14677, "x7", 16864)
(16864, "o3", 16918)
(16864, "o5", 17350)
(1474, "x5", 1717)
(1717, "o3", 1771)
(1717, "o4", 1879)
(1717, "o7", 6091)
(6091, "x3", 6118)
(6091, "x4", 6172)
(6091, "x8", 12652)
(12652, "x-won", 19683)
(1717, "o8", 14839)
(14839, "x3", 14866)
(14839, "x4", 14920)
(14839, "x7", 17026)
(17026, "o3", 17080)
(17026, "o4", 17188)
(1474, "x7", 3661)
(3661, "o3", 3715)
(3661, "o4", 3823)
(3661, "o5", 4147)
(3661, "o8", 16783)
(16783, "x3", 16810)
(16783, "x4", 16864)
(16783, "x5", 17026)
(1474, "x8", 8035)
(8035, "o3", 8089)
(8035, "o4", 8197)
(8035, "o5", 8521)
(8035, "o7", 12409)
(12409, "x3", 12436)
(12409, "x4", 12490)
(12409, "x5", 12652)
(16, "o7", 4390)
(4390, "x3", 4417)
(4417, "o4", 4579)
(4417, "o5", 4903)
(4417, "o6", 5875)
(4417, "o8", 17539)
(17539, "x4", 17620)
(17620, "o5", 18106)
(17620, "o6", 19078)
(17539, "x5", 17782)
(17782, "o4", 17944)
(17782, "o6", 19240)
(17539, "x6", 18268)
(18268, "x-won", 19683)
(4390, "x4", 4471)
(4471, "o3", 4525)
(4471, "o5", 4957)
(4471, "o6", 5929)
(4471, "o8", 17593)
(17593, "x3", 17620)
(17593, "x5", 17836)
(17836, "o3", 17890)
(17836, "o6", 19294)
(17593, "x6", 18322)
(18322, "x-won", 19683)
(4390, "x5", 4633)
(4633, "o3", 4687)
(4633, "o4", 4795)
(4633, "o6", 6091)
(4633, "o8", 17755)
(17755, "x3", 17782)
(17755, "x4", 17836)
(17755, "x6", 18484)
(18484, "o3", 18538)
(18484, "o4", 18646)
(4390, "x6", 5119)
(5119, "o3", 5173)
(5119, "o4", 5281)
(5119, "o5", 5605)
(5119, "o8", 18241)
(18241, "x3", 18268)
(18241, "x4", 18322)
(18241, "x5", 18484)
(4390, "x8", 10951)
(10951, "o3", 11005)
(10951, "o4", 11113)
(10951, "o5", 11437)
(10951, "o6", 12409)
(16, "o8", 13138)
(13138, "x3", 13165)
(13165, "o4", 13327)
(13165, "o5", 13651)
(13165, "o6", 14623)
(13165, "o7", 17539)
(13138, "x4", 13219)
(13219, "o3", 13273)
(13219, "o5", 13705)
(13219, "o6", 14677)
(13219, "o7", 17593)
(13138, "x5", 13381)
(13381, "o3", 13435)
(13381, "o4", 13543)
(13381, "o6", 14839)
(13381, "o7", 17755)
(13138, "x6", 13867)
(13867, "o3", 13921)
(13867, "o4", 14029)
(13867, "o5", 14353)
(13867, "o7", 18241)
(13138, "x7", 15325)
(15325, "o3", 15379)
(15325, "o4", 15487)
(15325, "o5", 15811)
(15325, "o6", 16783)
(7, "x3", 34)
(34, "o2", 52)
(52, "x4", 133)
(133, "o5", 619)
(619, "x6", 1348)
(1348, "x-won", 19683)
(619, "x7", 2806)
(2806, "o6", 4264)
(4264, "x8", 10825)
(10825, "x-won", 19683)
(2806, "o8", 15928)
(15928, "o-won", 19683)
(619, "x8", 7180)
(7180, "x-won", 19683)
(133, "o6", 1591)
(1591, "x5", 1834)
(1834, "x-won", 19683)
(1591, "x7", 3778)
(3778, "o5", 4264)
(3778, "o8", 16900)
(16900, "x5", 17143)
(17143, "x-won", 19683)
(1591, "x8", 8152)
(8152, "x-won", 19683)
(133, "o7", 4507)
(4507, "x5", 4750)
(4750, "x-won", 19683)
(4507, "x6", 5236)
(5236, "x-won", 19683)
(4507, "x8", 11068)
(11068, "x-won", 19683)
(133, "o8", 13255)
(13255, "x5", 13498)
(13498, "x-won", 19683)
(13255, "x6", 13984)
(13984, "x-won", 19683)
(13255, "x7", 15442)
(15442, "o5", 15928)
(15442, "o6", 16900)
(52, "x5", 295)
(295, "o4", 457)
(457, "x6", 1186)
(1186, "x-won", 19683)
(457, "x7", 2644)
(2644, "o6", 4102)
(4102, "o-won", 19683)
(2644, "o8", 15766)
(15766, "x6", 16495)
(16495, "x-won", 19683)
(457, "x8", 7018)
(7018, "o6", 8476)
(8476, "o-won", 19683)
(7018, "o7", 11392)
(11392, "o-won", 19683)
(295, "o6", 1753)
(1753, "x4", 1834)
(1753, "x7", 3940)
(3940, "o4", 4102)
(3940, "o8", 17062)
(17062, "x4", 17143)
(1753, "x8", 8314)
(8314, "o4", 8476)
(8314, "o7", 12688)
(12688, "x4", 12769)
(12769, "x-won", 19683)
(295, "o7", 4669)
(4669, "x4", 4750)
(4669, "x6", 5398)
(5398, "x-won", 19683)
(4669, "x8", 11230)
(11230, "o4", 11392)
(11230, "o6", 12688)
(295, "o8", 13417)
